	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_1	n_2	n_3	n_4	n_5	n_6	t_7	t_8	t_9	t_10	t_11	t_12	n_1.1	n_2.1	n_3.1	n_4.1	n_5.1	n_6.1	t_7.1	t_8.1	t_9.1	t_10.1	t_11.1	t_12.1	Certeza	DE
CLTA	1780.4303658068302	-0.861115617078799	0.214748559882421	-4.00987842503007	6.07500187797516e-05	0.0005931324631855441	1673	1574	2631	1260	2057	1998	1792	2428	2820	2383	200	2386	1297.0832299081098	1341.89963774676	1291.87399511929	1192.62367558468	1285.25362345604	1186.31449175489	1621.93533380927	2515.5985829217	2750.75552268368	2163.31435550847	1720.07849227505	2998.4334489140697	99.94	UP_t_DOWN_n
PPAT	179.50376716138697	-1.6863670287663302	0.420880372949381	-4.00676091628808	6.155711768361861e-05	0.00059973472487364	81	109	185	105	100	173	121	163	439	157	28	440	62.7996064689519	92.92697618449591	90.8387263766891	99.3853062987235	62.4819457197881	102.71892245925699	109.516838945827	168.880794487742	428.22045193550906	142.52637591893802	240.810988918507	552.938272222209	99.94	UP_t_DOWN_n
FANCF	233.60064123490503	-1.51021975817759	0.37705520017034205	-4.00530149828281	6.1938428660175e-05	0.000603022364583163	138	99	237	176	110	318	236	494	548	240	24	308	106.991922132288	84.40156552536791	116.371773790677	166.588703891194	68.7301402917669	188.812817006034	213.603090836489	511.822775932175	534.543981003779	217.87471478054297	206.40941907300598	387.056790555547	99.94	UP_t_DOWN_n
HTRA4	60.9210045615215	-2.65986498928816	0.664244413073477	-4.004346799065851	6.218907742137779e-05	0.000604606256938954	14	12	70	16	43	5	145	190	16	223	5	33	10.8542529699423	10.230492790953699	34.3714099803688	15.144427626472199	26.8672366595089	2.9687549843716003	131.239187166487	196.854913820067	15.607123532957099	202.441922483588	43.0019623068762	41.4703704166657	99.94	UP_t_DOWN_n
DNLZ	127.62860239685	-1.2742607250101499	0.31823969500396504	-4.004091082962709	6.22563765413616e-05	0.000604832797395122	123	87	156	72	147	67	161	204	244	190	25	82	95.3623653787788	74.17107273441421	76.5991422419649	68.1499243191247	91.84846020808858	39.7813167905794	145.720752646927	211.360012733125	238.00863387759497	172.484149201263	215.009811534381	103.047587095957	99.94	UP_t_DOWN_n
ALG8	397.148701395286	-1.25564445491966	0.31369961034488497	-4.0026968906311	6.26245131135724e-05	0.0006075505869952581	334	264	450	232	345	449	292	571	1052	499	65	370	258.95146371148104	225.07084140098098	220.959064159514	219.594200583846	215.562712733269	266.59419759657004	264.28857001802896	591.600819953991	1026.1683722919302	452.997844481212	559.025509989391	464.970819823222	99.94	UP_t_DOWN_n
MRPS30	240.044725894238	-1.0966612395586801	0.273978105668703	-4.00273312672939	6.26149189397671e-05	0.0006075505869952581	177	228	313	126	237	271	229	289	346	272	45	389	137.228769691413	194.37936302812	153.68930462650601	119.262367558468	148.082211355898	160.906520152941	207.267405938796	299.42668470526	337.504046400196	246.924676751282	387.01766076188596	488.84769976009005	99.94	UP_t_DOWN_n
TIMM23	630.65396341802	-1.2524843334169198	0.31317669592231395	-3.99928969723728	6.353287394984649e-05	0.000615494304572615	474	611	831	283	604	498	617	701	1298	607	100	1089	367.493993410904	520.902591272725	408.037738481236	267.867063643226	377.39095214752	295.687996443411	558.445368839465	726.291024146669	1266.12789661114	551.041466132456	860.039246137524	1368.52222374997	99.94	UP_t_DOWN_n
CHAC2	60.1770538934815	-2.221237264755	0.5556208689626079	-3.9977570837147405	6.39455242415413e-05	0.0006186200716034259	23	34	59	12	37	29	38	30	196	45	10	168	17.8319870220481	28.9863962410354	28.9701884120252	11.358320719854099	23.118319916321603	17.2187789093553	34.3937180160448	31.082354813694803	191.18726327872398	40.851509021351795	86.0039246137524	211.121885757571	99.94	UP_t_DOWN_n
PRPS2	718.4698028800099	-1.99280522813557	0.498570646087133	-3.9970368166987904	6.41403284626885e-05	0.0006200682808555401	365	320	704	223	495	526	543	418	3107	1358	30	1147	282.985881002067	272.813141092098	345.67818037399496	211.07546004395599	309.285631312951	312.31302435589197	491.46812849242997	433.08081040414805	3030.7083010561	1232.80776113324	258.011773841257	1441.40954145199	99.94	UP_t_DOWN_n
MCRIP2	222.73243721214803	-1.45426896522838	0.36394112720032396	-3.99589069917868	6.44514671963422e-05	0.00062263831310479	157	110	304	93	242	186	175	616	406	238	36	191	121.72269402006701	93.7795172504087	149.27012334331602	88.0269855788694	151.206308641887	110.437685418624	158.392122442312	638.224352174534	396.030759648785	216.05909215737202	309.614128609509	240.025477260095	99.94	UP_t_DOWN_n
SUCO	978.861258504185	-0.996755679464223	0.24953730254080803	-3.9944155415450098	6.48540340538445e-05	0.00062520926096648	1036	893	1291	642	870	969	1104	1494	1180	1127	129	1584	803.214719775731	761.319171860136	633.9070040665171	607.670158512195	543.5929277621569	575.3447159712159	999.2280181503551	1547.901269722	1151.0253605555802	1023.1033481569699	1109.4506275174099	1990.57777999995	99.94	UP_t_DOWN_n
PGM2L1	470.758138260168	-2.2823275187618397	0.5715318694960551	-3.9933512732619203	6.51459468399285e-05	0.000626735712884653	140	166	308	206	240	367	225	66	1342	927	56	1417	108.54252969942301	141.521816941526	151.23420391362302	194.984505690829	149.956669727492	217.90661585287498	203.647014568686	68.38118059012861	1309.0474863267698	841.541085839846	481.621977837014	1780.7125721338	99.94	UP_t_DOWN_n
DSN1	307.44106497656503	-1.38197285628539	0.34615935864771297	-3.9923024519230803	6.5434839069961e-05	0.000628165316127621	285	183	374	164	253	255	274	275	874	358	40	485	220.96157831668302	156.015015062044	183.641533323685	155.23038317133998	158.079322671064	151.406504202952	247.996808852534	284.92158579220296	852.5391229877789	324.996449547643	344.01569845501	609.488777335844	99.94	UP_t_DOWN_n
TARBP2	312.00941549557	-1.0843605337229	0.271927907614984	-3.9876765251259796	6.67235544717447e-05	0.000639643447226691	287	163	356	264	314	354	382	543	461	348	68	233	222.51218588381698	138.964193743787	174.803170757304	249.883055836791	196.193309560135	210.187852893509	345.74737584550303	562.590622127876	449.68024679332495	315.918336431787	584.826687373517	292.805948699488	99.94	UP_t_DOWN_n
COQ3	96.02436179122108	-1.7646149733377299	0.44276917775555796	-3.98540608061912	6.73648191296945e-05	0.000643100117066604	75	24	82	65	64	71	92	81	344	92	16	132	58.147783767548106	20.460985581907398	40.2636516912892	61.52423723254311	39.9884452606644	42.156320778076704	83.2690015125296	83.922357996976	335.553155958577	83.5186406658747	137.606279382004	165.881481666663	99.94	UP_t_DOWN_n
ME1	476.40205657445097	-1.62941377256147	0.408795773220355	-3.9858870352927	6.72284932955921e-05	0.000643100117066604	248	382	491	150	479	311	496	368	629	494	209	511	192.275338324692	325.670687178692	241.090890005159	141.979008998176	299.288519997785	184.656560027914	448.92852989363803	381.276885714656	613.555043889374	448.458787923284	1797.4820244274301	642.162402512611	99.94	UP_t_DOWN_n
NAA10	774.091711421267	-1.44424248808362	0.362380968873514	-3.98542586983293	6.73592047522362e-05	0.000643100117066604	511	488	922	492	733	528	560	828	1965	1673	58	1184	396.180233402894	416.04004016544997	452.720571455715	465.691149514019	457.992662126047	313.500526349641	506.85479181539705	857.872992857977	1916.74985889129	1518.7683242827	498.82276275976403	1487.90662343431	99.94	UP_t_DOWN_n
ZDHHC13	345.199517893377	-1.5955314758864998	0.40030968550681606	-3.9857428727123	6.72693285263874e-05	0.000643100117066604	247	142	324	103	190	572	359	293	693	357	72	690	191.500034541125	121.060831359619	159.09052619485	97.4922528454145	118.715696867597	339.62557021211103	324.930125467371	303.570998680419	675.983538021202	324.088638236057	619.228257219017	867.1077450757381	99.94	UP_t_DOWN_n
UTP25	274.626712458491	-0.8871766093737701	0.22271169241505398	-3.9835205765505695	6.790178932782321e-05	0.00064777647320582	243	241	359	165	260	449	372	293	367	381	42	346	188.398819406856	205.462396884986	176.27623118503502	156.176909897994	162.453058871449	266.59419759657004	336.696397420228	303.570998680419	357.988396037202	345.87610971411203	361.21648337776	434.810550429283	99.94	UP_t_DOWN_n
CPSF3	704.865043745721	-1.8192653945396298	0.45721215385534897	-3.97903988159335	6.91941343009406e-05	0.000657822796843037	403	429	639	269	533	491	507	615	2516	782	40	1578	312.44742477762503	365.740117276594	313.76187110651	254.61568947006302	333.028770686471	291.53173946529097	458.88460616144005	637.188273680744	2454.2201755575	709.908445659935	344.01569845501	1983.03771265147	99.93	UP_t_DOWN_n
