baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_1	n_2	n_3	n_4	n_5	n_6	t_7	t_8	t_9	t_10	t_11	t_12	n_1.1	n_2.1	n_3.1	n_4.1	n_5.1	n_6.1	t_7.1	t_8.1	t_9.1	t_10.1	t_11.1	t_12.1	Certeza	DE
KIF20A	155.418895213172	-4.47189282093169	0.367148370121007	-12.1800699250219	3.96941398128791e-34	5.45675340007649e-30	33	14	20	12	18	20	263	358	409	352	15	260	25.5850248577212	11.9355749227793	9.82040285153396	11.3583207198541	11.2467502295619	11.8750199374864	238.040732584731	370.916100776758	398.957095311215	319.549581678129	129.005886920629	326.736251767669	100	UP_t_DOWN_n
NUF2	248.880402368799	-5.19515998175905	0.436615551722115	-11.8987057636131	1.20196769675978e-32	8.26172496367832e-29	26	14	12	17	18	25	170	465	568	481	41	738	20.15789837275	11.9355749227793	5.89224171092037	16.0909543531267	11.2467502295619	14.843774921858	153.866633229674	481.77649961227	554.052885419975	436.657240872671	352.616090916385	927.428283863615	100	UP_t_DOWN_n
TOP2A	1161.01670054181	-5.27112487454155	0.454169413328926	-11.6060763227223	3.83827513879156e-31	1.75882561109892e-27	98	95	94	42	84	96	1285	1532	5106	2772	59	2248	75.9797707895962	80.9914012617166	46.1558934022096	39.7541225194894	52.484834404622	57.0000956999347	1163.05072764783	1587.27225248602	4980.62329745492	2516.45295571527	507.423155221139	2825.01189989892	100	UP_t_DOWN_n
CEP55	235.637113779361	-4.52471954111328	0.391370003729228	-11.5612323325723	6.47724989212733e-31	2.22606885667686e-27	36	28	45	12	32	22	545	267	914	363	28	380	27.9109362084231	23.8711498455586	22.0959064159514	11.3583207198541	19.9942226303322	13.062521931235	493.278324177485	276.632957841884	891.556931820172	329.535506105571	240.810988918507	477.537598737363	100	UP_t_DOWN_n
PYCR1	502.716910290361	-3.77603558387213	0.33742041356433	-11.1908925248004	4.51862094394623e-29	1.24234964232858e-25	104	88	136	46	96	144	1008	1477	1395	650	58	580	80.631593491	75.023613800327	66.7787393904309	43.5402294261075	59.9826678909966	85.5001435499021	912.338625267715	1530.28793532757	1360.74608302969	590.077352530637	498.822762759764	728.873177020185	100	UP_t_DOWN_n
CEACAM5	6259.23029275544	-6.07504033157721	0.547370365993473	-11.0985919388439	1.27435699184181e-28	2.91976426114155e-25	256	145	225	173	128	710	17616	15580	4506	30041	268	6330	198.477768593231	123.618454557357	110.479532079757	163.74912371123	79.9768905213288	421.563207780767	15944.2035939644	16142.1029332455	4395.35616496903	27271.5596113429	2304.90517964857	7954.77105265133	100	UP_t_DOWN_n
KIF4A	139.245656807418	-4.8240774313681	0.447244706716654	-10.7862147028703	3.99924440481703e-27	7.8539446904314e-24	10	21	12	10	12	16	246	140	558	408	19	133	7.75303783567308	17.9033623841689	5.89224171092037	9.4652672665451	7.49783348637458	9.50001594998912	222.654069261764	145.050989130576	544.298433211877	370.387015126923	163.40745676613	167.138159558077	100	UP_t_DOWN_n
CDCA8	137.571794373766	-3.66127302544502	0.343703909173399	-10.6524043740157	1.69918641279298e-26	2.59541284629613e-23	24	24	40	26	26	38	145	228	414	389	21	178	18.6072908056154	20.4609855819074	19.6408057030679	24.6096948930173	16.2453058871449	22.5625378812242	131.239187166487	236.225896584081	403.834321415264	353.138600206796	180.60824168888	223.688664671712	100	UP_t_DOWN_n
UBE2C	341.409389951909	-5.46389679636408	0.512417381816172	-10.6629809804622	1.5165707397226e-26	2.59541284629613e-23	31	26	18	6	22	28	337	626	1832	293	44	494	24.0344172905865	22.166067713733	8.83836256638056	5.67916035992706	13.7460280583534	16.625027912481	305.017972931766	648.585137112432	1787.01564452358	265.988714294579	378.417268300511	620.798878358571	100	UP_t_DOWN_n
RRM2	566.116972175674	-4.97108038163584	0.468247282166677	-10.616357149226	2.50132778118423e-26	3.43857530079396e-23	53	63	74	20	49	50	482	594	2625	1188	46	1191	41.0911005290673	53.7100871525068	36.3354905506756	18.9305345330902	30.6161534026962	29.687549843716	436.257160098253	615.430625311157	2560.54370462577	1078.47983816369	395.618053223261	1496.70336867421	100	UP_t_DOWN_n
AURKA	201.66368645831	-3.70116282558298	0.353824832781984	-10.4604382809488	1.31247153183333e-25	1.64023146801026e-22	48	25	57	27	55	44	231	260	747	419	44	224	37.2145816112308	21.3135266478202	27.9881481268718	25.5562216196718	34.3650701458835	26.1250438624701	209.077601623851	269.380408385355	728.657579944932	380.372939554364	378.417268300511	281.495847676761	100	UP_t_DOWN_n
CDC20	182.555964374408	-4.63524132432112	0.448995538198711	-10.3235799244618	5.51285007532334e-25	6.31542916545583e-22	23	14	25	18	21	23	302	346	693	532	7	202	17.8319870220481	11.9355749227793	12.2755035644174	17.0374810797812	13.1212086011555	13.6562729281094	273.339548443304	358.48315885128	675.983538021202	482.955617763536	60.2027472296267	253.848934065651	100	UP_t_DOWN_n
KIF2C	138.859267527833	-4.34924327046362	0.428126669944934	-10.1587767728253	3.02852122336512e-24	3.2025447121231e-21	19	18	18	6	27	28	141	214	411	525	22	137	14.7307718877788	15.3457391864305	8.83836256638056	5.67916035992706	16.8701253443428	16.625027912481	127.618795796377	221.720797671023	400.907985752834	476.600938582437	189.208634150255	172.164871123733	100	UP_t_DOWN_n
DEPDC1	107.801048061877	-5.19735651083793	0.515993112312166	-10.0725307893134	7.30731545194168e-24	7.17526182270302e-21	6	12	8	4	6	14	120	76	408	189	16	290	4.65182270140385	10.2304927909537	3.92816114061358	3.78610690661804	3.74891674318729	8.31251395624048	108.611741103299	78.7419655280269	397.981650090405	171.576337889677	137.606279382004	364.436588510093	100	UP_t_DOWN_n
ETV4	317.011392772888	-4.90112276105127	0.490609586385144	-9.98986342106193	1.68814180197016e-23	1.54712569011226e-20	27	43	41	16	28	22	488	401	1669	207	78	268	20.9332021563173	36.6592658342507	20.1318258456446	15.1444276264722	17.4949448015407	13.062521931235	441.687747153418	415.467476009721	1628.01807353158	187.916941498218	670.830611987269	336.789674898982	100	UP_t_DOWN_n
LIMS2	1167.83785795324	3.70145292017711	0.373199798008316	9.91815360011162	3.47117838990245e-23	2.98239308287431e-20	2001	2147	5340	3753	3255	2388	365	107	139	146	24	72	1551.38287091818	1830.4056685148	2622.04756135957	3552.31480513438	2033.7873331791	1417.87738053588	330.360712522536	110.860398835512	135.586885692564	132.540451491497	206.409419073006	90.4808081818161	100	DOWN_t_UP_n
TROAP	146.946405754968	-4.31365854073371	0.435263515403389	-9.91045283622255	3.7494288256898e-23	3.03196459216221e-20	18	32	12	14	22	20	212	382	364	486	16	124	13.9554681042115	27.2813141092098	5.89224171092037	13.2513741731631	13.7460280583534	11.8750199374864	191.880742615829	395.781984627714	355.062060374773	441.196297430599	137.606279382004	155.82805853535	100	UP_t_DOWN_n
ASPM	185.032252573462	-4.44740503429756	0.450426914448599	-9.87375507909414	5.41005432316735e-23	4.13177871003231e-20	32	6	26	24	30	24	279	450	423	652	11	242	24.8097210741538	5.11524639547684	12.7665237069941	22.7166414397082	18.7445837159364	14.2500239249837	252.522298065171	466.235322205422	412.613328402552	591.892975153808	94.6043170751277	304.116049722215	100	UP_t_DOWN_n
ZWINT	284.887165916305	-3.70164980150184	0.377393538660386	-9.80846098913457	1.03535529906599e-22	7.49106805066327e-20	63	35	59	26	106	76	366	487	1047	343	58	404	48.8441383647404	29.8389373069482	28.9701884120252	24.6096948930173	66.2308624629754	45.1250757624483	331.265810365063	504.570226475646	1021.29114618788	311.379279873859	498.822762759764	507.697868131301	100	UP_t_DOWN_n
FOXF1	601.491744967284	3.78117338598822	0.386847923495056	9.77431480522486	1.45136041293578e-22	9.97592579831407e-20	1131	1322	2665	1768	1325	1522	140	51	24	87	14	78	876.868579214625	1127.05928913673	1308.5686799669	1673.45925272517	827.885780787193	903.689017242715	126.713697953849	52.8400031832812	23.4106852994356	78.9795841079467	120.405494459253	98.0208755303008	100	DOWN_t_UP_n
BUB1B	127.830495069901	-4.30927536328902	0.461472213264328	-9.33810365917027	9.80748749328462e-21	6.4201681223897e-18	23	14	22	10	19	21	155	336	514	300	12	75	17.8319870220481	11.9355749227793	10.8024431366874	9.4652672665451	11.8715696867597	12.4687709343607	140.290165591762	348.122373913382	501.378843496245	272.343393475678	103.204709536503	94.2508418560584	100	UP_t_DOWN_n
PCLAF	241.04376455548	-4.97764300994335	0.535593866346077	-9.29368934693329	1.49030937236121e-20	9.31240133720433e-18	26	25	28	9	22	20	149	211	778	321	22	963	20.15789837275	21.3135266478202	13.7485639921475	8.51874053989059	13.7460280583534	11.8750199374864	134.859578536597	218.612562189654	758.896381790037	291.407431018976	189.208634150255	1210.18080943179	100	UP_t_DOWN_n
MELK	146.451255408747	-4.4443725532905	0.479784862488222	-9.26326130891552	1.9828136107324e-20	1.18511907420602e-17	28	16	30	4	15	24	201	174	577	477	12	174	21.7085059398846	13.6406570546049	14.7306042773009	3.78610690661804	9.37229185796822	14.2500239249837	181.924666348027	180.27765791943	562.831892407264	433.025995626329	103.204709536503	218.661953106056	100	UP_t_DOWN_n
ORC6	118.491956492945	-3.7874451561218	0.409734171443425	-9.24366435628074	2.38196914930452e-20	1.36437207897872e-17	17	21	26	16	40	22	154	205	465	157	13	211	13.1801643206442	17.9033623841689	12.7665237069941	15.1444276264722	24.9927782879153	13.062521931235	139.385067749234	212.396091226915	453.582027676564	142.526375918938	111.805101997878	265.159035088378	100	UP_t_DOWN_n
SMAD6	724.715212774106	4.002441322664	0.436930651513975	9.16035830582142	5.17252843143943e-20	2.84426993387991e-17	1240	1902	4857	1287	2012	1225	179	52	67	66	18	24	961.376691623462	1621.53310736616	2384.88483249502	1218.17989720435	1257.13674788214	727.344971171042	162.012513812422	53.876081677071	65.3548297942577	59.9155465646493	154.807064304754	30.1602693939387	100	DOWN_t_UP_n
RAMP3	852.186845753091	3.65146434198847	0.399674905786677	9.13608607676111	6.4753500780741e-20	3.42371682781864e-17	1052	1217	3989	2459	3088	2383	281	150	70	91	8	90	815.619580312808	1037.54247721589	1958.67934873845	2327.50922084344	1929.44248382706	1414.9086255515	254.332493750226	155.411774068474	68.2811654566871	82.6108293542891	68.8031396910019	113.10101022727	100	DOWN_t_UP_n
BUB1	190.841943145663	-3.69234705985449	0.405902365993167	-9.09663842638613	9.31709147096512e-20	4.7437798685688e-17	42	45	40	27	24	58	219	163	523	429	28	491	32.5627589098269	38.3643479660763	19.6408057030679	25.5562216196718	14.9956669727492	34.4375578187106	198.216427513521	168.880794487742	510.157850483534	389.45105267022	240.810988918507	617.028844684329	100	UP_t_DOWN_n
KIF18B	108.735597175705	-4.58656445284239	0.506574025007567	-9.05408533880883	1.37717106588498e-19	6.76141808668603e-17	14	12	16	7	14	14	110	212	322	503	12	47	10.8542529699423	10.2304927909537	7.85632228122716	6.62568708658157	8.74747240077034	8.31251395624048	99.5607626780245	219.648640683443	314.093361100761	456.629089727554	103.204709536503	59.0638608964633	100	UP_t_DOWN_n
