Gene	t_7	t_8	t_9	t_10	t_11	t_12	n_1	n_2	n_3	n_4	n_5	n_6
A1BG	45	70	178	79	20	29	65	42	101	52	135	55
A2M	26870	4157	4229	4003	256	4970	61702	39860	77681	40730	43454	36392
A2M-AS1	13	5	6	17	0	22	35	17	27	31	38	28
A4GALT	306	78	263	462	6	62	410	903	1121	429	564	440
AAAS	408	671	489	582	165	186	570	432	790	471	713	737
AACS	717	229	327	237	23	495	352	319	455	222	344	469
AADAC	128	12	45	6	2	24	305	267	204	70	67	267
AADAT	124	11	80	95	15	171	114	108	169	84	125	257
AAGAB	445	519	879	565	22	608	564	652	1109	400	795	805
AAK1	518	328	217	567	78	157	575	521	1035	563	881	686
AAMDC	161	36	185	135	8	165	199	128	302	187	198	199
AAMP	1214	1520	1329	1633	37	471	1519	1194	2057	896	1727	1516
AAR2	549	340	939	306	28	246	750	747	1252	581	988	830
AARD	47	4	39	19	78	22	94	31	66	61	57	96
AARS1	1572	1748	693	1022	96	687	1350	1299	2352	1171	1380	1898
AARS2	271	400	337	430	64	46	286	227	398	241	361	390
AASDH	122	111	103	83	23	178	199	165	247	224	187	344
AASDHPPT	481	281	1045	390	82	1059	445	470	798	427	465	734
AASS	532	274	174	139	34	171	1202	1655	2097	937	2020	1440
AATBC	24	19	32	115	13	18	22	32	37	42	58	102
AATK	320	27	22	46	6	6	1121	538	1135	971	434	834
ABAT	228	143	54	73	26	289	238	162	187	102	259	433
ABCA1	1608	584	159	799	78	446	1566	959	1160	858	1058	1452
ABCA10	69	51	6	19	8	40	321	82	110	84	242	273
ABCA11P	95	65	99	45	31	114	81	94	137	60	121	128
ABCA12	43	0	55	179	0	435	0	2	7	0	18	15
ABCA13	88	5	228	216	12	144	94	55	209	28	112	2351
ABCA2	568	629	161	886	67	51	631	517	1036	652	1130	1011
ABCA3	5957	18	109	127	338	724	6292	12900	16390	3105	7013	11333
ABCA4	22	8	45	40	23	65	22	31	40	10	59	53
ABCA5	335	1992	184	377	369	436	586	453	634	352	809	1282
ABCA6	232	62	51	80	9	133	565	339	441	144	490	578
ABCA7	685	305	142	2184	263	136	384	389	929	389	909	758
ABCA8	696	4	38	54	0	96	1530	767	1130	356	1546	1286
ABCA9	140	114	23	64	4	50	400	253	210	68	437	392
ABCB1	277	90	16	41	0	60	1930	204	144	1186	95	108
ABCB10	382	304	357	438	85	597	391	360	613	384	392	581
ABCB6	350	1453	219	478	104	179	152	120	274	139	185	297
ABCB7	253	271	461	326	43	407	302	321	504	283	390	413
ABCB8	383	576	258	563	44	92	360	397	675	281	556	648
ABCB9	96	54	125	78	25	26	60	37	76	46	54	60
ABCC1	34	2	24	69	15	22	51	53	68	63	56	55
ABCC1_1	40	161	48	70	23	48	76	47	86	31	89	76
ABCC10	417	428	367	548	77	64	297	223	472	322	327	651
ABCC2	20	11877	9	12	10	22	24	4	14	28	10	31
ABCC3	583	4624	677	2872	788	343	385	312	801	350	1140	706
ABCC4	699	264	1658	202	113	846	708	820	1014	916	688	842
ABCC5	651	556	629	584	338	184	830	450	949	984	1055	1925
ABCC6P1	16	33	5	10	16	53	12	17	19	24	26	31
ABCC8	26	6	34	2	26	19	50	38	243	26	112	39
ABCC9	313	129	50	95	34	93	516	622	939	636	783	437
ABCD1	387	288	115	1425	16	43	238	143	328	143	222	179
ABCD2	26	64	12	50	0	24	24	8	42	12	25	118
ABCD3	802	427	1070	628	222	2396	1190	1155	1715	700	1231	1663
ABCD4	412	501	730	603	126	309	645	535	989	820	867	779
ABCE1	789	892	1815	1055	81	2200	827	1368	2004	559	1275	922
ABCF2	169	196	237	244	26	153	193	252	383	136	288	193
ABCF3	533	670	562	830	60	102	824	801	1184	572	966	1020
ABCG1	1763	540	194	735	24	1638	1409	1295	2484	1166	2408	2581
ABCG2	96	60	20	24	8	50	249	190	389	896	132	284
ABHD10	289	357	654	433	41	434	319	262	403	342	407	502
ABHD11	634	2268	680	617	338	395	389	222	535	196	609	780
ABHD11-AS1	12	115	4	26	6	10	12	10	56	10	23	45
ABHD12	1284	1712	2264	1890	109	675	835	741	1454	519	1115	932
ABHD13	432	266	519	256	26	572	588	500	933	399	614	566
ABHD14A	99	126	108	65	22	61	122	71	147	61	192	121
ABHD14B	393	936	499	370	95	195	1066	701	1317	714	1228	1153
ABHD15	238	164	150	284	6	129	296	190	370	139	335	373
ABHD16B	71	92	69	142	2	10	75	63	131	35	95	100
ABHD17A	546	527	266	522	26	116	1102	785	1435	1028	1372	920
ABHD17B	231	231	365	242	10	336	313	377	623	239	339	479
ABHD17C	575	980	1039	396	28	551	641	605	868	795	479	644
ABHD18	217	438	184	183	46	338	231	190	335	290	458	413
ABHD2	822	755	125	406	50	301	666	1120	1809	404	1232	1600
ABHD3	375	1563	510	424	136	895	329	296	449	303	426	483
ABHD4	231	746	395	553	93	102	362	312	663	491	525	555
ABHD5	503	491	407	613	50	975	662	889	1140	338	852	1129
ABHD6	106	58	64	93	2	106	389	291	327	717	176	356
ABHD8	111	99	213	202	26	73	183	145	247	208	148	213
ABI1	1163	823	849	766	87	1459	1067	1034	1979	839	1376	1696
ABI2	817	366	851	638	24	714	1473	1155	2268	1494	1508	2170
ABI3	186	135	77	280	0	22	244	314	629	259	229	279
ABI3BP	806	628	194	590	36	1008	2389	1860	3325	2325	3212	3164
ABITRAM	205	239	394	545	109	581	312	302	680	194	509	680
ABL1	1133	824	543	1857	99	217	1340	1661	2307	993	1795	1524
ABL2	847	591	237	603	68	199	673	863	1347	433	1406	651
ABLIM1	2951	801	905	610	216	250	5562	4400	7722	4702	5413	5149
ABLIM2	338	49	18	48	6	158	77	186	239	105	168	99
ABLIM3	371	369	56	59	10	94	1027	903	1202	871	1432	670
ABO	40	52	42	12	22	82	149	12	45	73	79	110
ABO_1	44	18	14	17	38	7	71	18	110	51	44	145
ABR	26	9	7	44	1	0	23	43	67	23	37	80
ABRACL	405	834	2229	986	50	2362	246	226	442	139	326	307
ABRAXAS1	40	44	41	34	7	167	91	66	132	89	76	204
ABRAXAS2	338	237	360	393	26	326	360	398	714	334	518	430
ABT1	391	703	742	465	56	396	501	462	773	348	536	553
ABTB1	622	471	257	415	51	68	1475	776	1228	1086	1309	1063
ABTB2	105	37	86	130	13	76	94	315	149	41	235	95
ACAA1	434	611	254	517	66	159	593	700	1163	499	869	809
ACAA2	745	546	984	513	6	1109	1098	1084	1771	672	1432	1048
ACACB	346	297	71	197	10	40	1238	692	1208	1349	965	1517
ACAD10	395	796	188	229	58	61	339	234	466	314	428	517
ACAD8	312	410	516	391	182	667	391	384	803	439	814	762
ACAD9	237	181	228	288	8	39	271	295	420	212	331	381
ACADL	290	0	36	32	18	46	659	893	1209	454	584	1375
ACADM	688	306	662	596	90	1004	713	663	1191	523	472	1142
ACADS	402	262	182	233	14	96	485	329	565	354	487	405
ACADSB	701	270	133	125	212	590	826	632	1121	482	1145	1060
ACADVL	3931	6968	4034	3513	1527	951	5011	6669	9042	4019	10287	6059
ACAN	21	13	12	7	0	1	4	4	51	61	52	21
ACAP2	720	779	725	683	64	686	1081	1032	1812	1088	1120	1565
ACAP3	690	965	611	2433	385	119	839	704	1568	1026	1629	918
ACAT1	913	135	485	281	97	1095	1070	968	1635	830	1082	1270
ACAT2	241	164	1206	236	8	806	227	258	383	146	267	533
ACBD3	1448	1046	1121	1020	78	1315	1127	1407	2045	710	1506	1162
ACBD4	157	261	185	123	34	92	344	214	404	344	381	412
ACBD5	563	1040	535	363	82	664	638	459	927	583	609	907
ACBD6	448	423	954	692	45	466	425	340	571	249	449	479
ACBD7	64	6	201	30	0	38	29	13	34	15	37	135
ACCS	438	545	144	352	82	105	1054	626	683	991	1204	949
ACD	157	186	310	256	12	75	326	325	501	240	295	260
ACE	1812	656	167	895	53	21	5148	4800	5004	4450	3372	2625
ACE2	72	22	8	92	8	52	37	36	176	13	62	77
ACER2	128	53	36	88	4	111	124	149	282	186	168	259
ACER3	531	261	617	718	68	404	643	808	1279	585	1221	988
ACHE	550	73	21	88	14	117	60	130	134	39	461	26
ACIN1	2684	4373	1855	3490	403	876	2410	2289	3694	2631	3110	3291
ACKR1	339	75	34	35	2	164	506	1048	2180	1430	355	452
ACKR2	117	24	46	238	2	58	20	36	35	15	36	35
ACKR3	206	612	102	355	20	784	370	479	475	297	267	581
ACKR4	26	4	8	3	0	18	94	62	116	82	71	89
ACLY	1849	1363	2916	1742	76	1551	1523	1595	2549	1327	1721	2411
ACO1	720	581	501	1253	65	518	899	807	1177	598	843	841
ACO2	700	532	312	390	12	159	723	711	1420	507	702	981
ACOT1	51	84	41	98	8	87	85	123	123	10	48	119
ACOT11	24	75	62	50	2	2	40	30	44	38	41	122
ACOT13	536	1445	674	560	163	833	375	331	521	279	439	428
ACOT2	243	167	188	286	37	353	247	284	402	140	236	333
ACOT4	46	44	117	119	6	85	30	45	85	32	66	92
ACOT7	417	315	747	788	10	130	339	319	413	152	414	330
ACOT8	167	116	182	110	21	98	167	103	244	133	155	198
ACOT9	887	439	733	835	61	708	1030	1190	1774	816	1669	1206
ACOX1	903	1212	1033	999	84	959	1223	1181	1751	861	1347	1231
ACOX2	150	107	155	101	34	177	272	124	209	242	223	256
ACOX3	245	138	111	560	56	28	340	280	488	318	355	489
ACOXL	127	48	19	51	16	20	356	417	510	239	347	503
ACP1	1265	1229	2407	1445	120	1878	970	1124	1814	755	1286	1422
ACP2	973	791	751	2323	34	296	483	584	841	465	721	506
ACP3	175	35	103	28	14	164	48	131	117	28	102	137
ACP5	3059	1674	431	2715	34	500	1966	1624	4916	1047	3970	2744
ACP6	160	237	419	339	101	199	263	167	254	121	201	335
ACRBP	29	10	45	30	2	19	15	18	98	11	55	38
ACSF2	465	1848	1321	1675	54	500	802	710	1432	574	804	1002
ACSF3	235	192	168	291	9	116	383	249	450	348	326	368
ACSL1	3959	1480	535	3517	145	4611	2940	4408	5410	1309	4210	5051
ACSL3	1943	1623	2585	1611	28	2537	2045	2159	3343	1118	1870	2509
ACSL4	1524	4194	1097	1139	27	1627	2138	4991	6392	1225	3852	2781
ACSL5	2295	1860	528	650	414	844	1230	1919	2750	1088	1864	1433
ACSL6	17	14	2	16	2	43	10	14	64	6	16	15
ACSM3	221	176	26	16	9	323	90	74	112	40	92	161
ACSM5	50	27	11	17	0	34	40	27	32	30	54	26
ACSS1	821	538	651	591	180	195	1065	697	1245	997	792	1706
ACSS2	939	503	1033	575	719	682	1123	1008	2079	1120	1683	1764
ACSS3	196	37	46	165	12	179	419	391	721	319	638	564
ACTA1	974	5	4	783	13	7	19	5	6	8	92	92
ACTA2	840	409	530	1133	49	491	1411	1318	6257	7081	2686	5600
ACTA2-AS1	3	12	2	11	6	5	25	12	38	29	36	36
ACTB	44345	39640	77406	57865	6647	24649	64951	70177	98767	40080	81451	60218
ACTG1	37663	25460	45654	39218	1508	26157	33843	38393	54788	19989	39942	30019
ACTG1P20	30	19	9	21	2	2	15	9	33	30	12	26
ACTG2	203	42	72	31	8	141	547	338	2288	2312	918	2556
ACTL10	169	18	6	53	0	12	27	4	11	14	24	23
ACTL6A	816	470	1895	797	76	868	408	411	675	361	371	549
ACTN1	2160	1126	4205	2249	57	889	1434	1768	4072	2923	3115	3152
ACTN2	250	2	6	159	2	8	100	107	334	108	231	210
ACTR10	721	426	1135	746	131	6121	995	976	1594	694	1095	1273
ACTR1A	1006	369	617	592	16	383	1216	1263	2288	985	1437	1351
ACTR1B	704	735	696	1576	94	404	1119	928	1700	1013	1521	1628
ACTR2	4449	3019	7242	4996	280	4200	4061	4668	7742	3350	4286	5089
ACTR3	4409	3050	4084	4946	280	6130	2503	3341	6131	2194	3077	2946
ACTR3B	44	77	88	117	12	91	98	99	96	99	86	121
ACTR3C	103	156	79	74	29	83	121	125	161	105	141	232
ACTR5	127	268	201	137	79	109	185	114	275	148	153	214
ACTR6	378	206	730	246	86	965	364	301	585	341	355	582
ACTR8	253	334	274	322	51	239	321	353	528	333	445	583
ACTRT3	28	22	16	24	0	18	58	22	18	14	14	22
ACVR1	475	531	488	557	82	960	543	512	777	446	574	777
ACVR1B	1506	849	329	839	80	218	503	984	1428	402	1526	1250
ACVR1C	16	42	4	6	0	10	10	2	37	8	20	42
ACVR2A	171	198	201	160	29	355	255	201	315	257	308	363
ACVR2B	143	248	163	98	16	82	202	131	260	353	259	303
ACVRL1	726	271	120	591	14	128	3006	4533	10478	4516	4903	3510
ACY3	35	25	44	55	0	31	2	0	11	2	9	12
ACYP1	68	68	269	228	46	122	106	84	223	89	144	216
ACYP2	133	120	250	199	28	576	155	98	274	136	209	200
ADA	255	247	171	188	4	80	66	190	404	46	254	92
ADA2	1595	1450	163	1495	26	150	1832	1067	3621	720	2381	2473
ADAL	64	66	138	52	6	104	134	90	178	78	127	177
ADAM10	1829	1019	1590	1582	77	1989	2251	1787	3018	1832	1843	2616
ADAM11	12	4	12	16	0	6	20	8	20	25	26	26
ADAM12	117	78	207	876	16	264	50	39	50	12	96	29
ADAM15	1335	1359	1315	3604	377	412	2203	1988	3096	1840	1676	2125
ADAM17	511	349	615	378	45	268	501	664	1003	405	1009	889
ADAM19	401	502	249	728	24	69	289	275	557	303	907	215
ADAM22	81	58	108	72	4	114	134	96	109	79	86	128
ADAM23	28	20	10	26	0	54	47	4	125	54	72	48
ADAM28	429	593	217	779	18	487	177	50	275	34	294	492
ADAM33	102	26	20	29	4	38	400	168	419	435	819	735
ADAM8	403	496	675	2405	44	123	217	211	311	66	505	137
ADAM9	880	99	223	438	4	269	912	1137	1986	872	1046	1673
ADAMDEC1	107	907	110	1967	0	562	0	12	80	4	20	2
ADAMTS1	1545	385	271	242	54	352	4747	3341	3664	1121	4075	3780
ADAMTS10	129	827	46	185	45	42	369	170	558	468	725	465
ADAMTS12	184	74	133	423	44	143	179	52	146	75	444	127
ADAMTS14	65	83	197	255	8	27	32	16	81	4	126	117
ADAMTS15	125	26	4	15	4	31	444	269	246	80	231	529
ADAMTS16	12	0	24	35	6	40	4	4	4	4	40	13
ADAMTS17	28	10	6	28	10	16	97	49	59	40	116	80
ADAMTS2	288	132	188	1467	30	175	491	464	518	340	883	403
ADAMTS3	37	14	1027	42	0	168	48	99	72	32	52	50
ADAMTS4	620	251	189	220	4	65	676	1801	552	31	741	73
ADAMTS5	66	30	107	156	8	90	96	41	128	198	195	98
ADAMTS6	65	100	26	18	6	73	72	60	130	121	248	95
ADAMTS7	164	38	105	150	13	18	268	148	199	235	295	186
ADAMTS8	308	7	6	14	2	22	1414	1066	1084	329	749	652
ADAMTS9	383	286	47	92	8	94	696	1443	1521	431	1080	374
ADAMTS9-AS1	40	4	2	2	2	18	186	205	134	72	131	138
ADAMTS9-AS2	19	4	4	4	2	6	58	92	146	83	60	92
ADAMTSL1	34	18	4	22	12	43	65	32	68	648	98	126
ADAMTSL2	286	28	78	181	20	18	700	643	1477	430	813	424
ADAMTSL3	340	10	16	16	11	52	665	1098	1549	922	1144	950
ADAMTSL4	525	345	81	586	31	50	1013	1031	1343	715	2197	1975
ADAMTSL5	52	68	8	40	18	8	14	12	38	20	39	32
ADAP1	199	821	204	173	28	66	265	194	346	136	247	394
ADAP2	279	130	84	144	10	48	135	134	202	120	274	163
ADAR	1714	472	361	633	34	178	1341	1564	2701	1589	1319	2247
ADARB1	507	410	406	288	75	82	1591	1316	2177	1678	1998	1777
ADARB2	42	8	0	12	2	6	158	106	98	93	146	82
ADAT1	221	419	348	317	72	267	301	372	630	235	408	544
ADAT2	204	563	475	176	130	99	270	323	448	312	623	454
ADAT3	60	58	21	56	2	3	50	45	88	28	95	32
ADCK1	116	74	132	117	24	46	90	94	141	134	194	184
ADCK2	264	141	396	277	14	151	371	248	469	235	358	445
ADCY1	64	10	28	82	6	14	126	38	116	122	62	110
ADCY10P1	73	183	48	37	9	30	128	69	170	132	116	217
ADCY2	12	0	0	10	0	26	32	18	35	20	24	141
ADCY3	420	312	178	227	9	57	757	651	1611	696	1099	717
ADCY5	602	815	78	15	6	290	214	275	679	430	319	537
ADCY6	450	185	66	184	22	47	462	344	1067	797	750	866
ADCY7	570	201	71	208	58	36	356	288	471	223	465	636
ADCY9	576	107	142	142	86	90	1325	841	1681	1276	1402	1567
ADCYAP1	43	2	4	17	0	56	142	32	68	0	97	6
ADD1	3468	1657	989	2195	148	612	5264	6070	10599	5139	6091	6163
ADD2	18	22	71	39	4	62	80	28	28	179	46	20
ADD3	1012	1020	1361	1029	333	2402	1910	1388	2870	1671	1693	2354
ADGB	32	0	2	2	0	20	70	23	84	19	56	722
ADGRA2	439	94	52	311	18	26	950	660	1526	1108	1450	956
ADGRA3	465	300	354	424	138	219	447	241	449	293	593	592
ADGRB1	73	43	24	148	0	21	100	29	73	53	131	79
ADGRB2	34	34	31	171	4	13	43	20	70	20	58	116
ADGRB3	48	0	0	4	0	14	86	50	33	44	29	40
ADGRD1	754	94	53	67	100	120	1712	2164	2969	1259	2652	1731
ADGRE1	39	14	6	12	0	2	294	32	104	42	82	19
ADGRE2	195	294	22	292	4	18	70	75	123	8	139	53
ADGRE4P	67	41	2	64	6	2	25	38	94	9	69	41
ADGRE5	2038	935	494	1346	17	277	2525	5002	7962	1342	9197	3976
ADGRF1	117	11	1028	661	716	1788	60	191	245	22	426	440
ADGRF5	3639	341	850	794	1233	1724	9359	11410	21625	9579	11240	12703
ADGRG1	1351	310	588	574	6	231	1105	1437	1843	541	822	844
ADGRG2	59	14	179	26	6	110	45	40	46	20	61	27
ADGRG3	28	26	26	20	2	10	23	46	42	12	12	49
ADGRG5	47	59	2	68	2	8	48	22	48	10	21	13
ADGRG6	660	403	877	106	22	545	1531	1665	2598	3280	2186	1771
ADGRL2	1228	474	1201	360	72	417	5072	4807	9777	6746	4452	4263
ADGRL3	86	2	87	2	0	26	476	355	213	432	162	427
ADGRL4	290	222	208	200	20	372	907	1129	1831	1207	481	634
ADGRV1	783	154	46	76	53	329	353	312	442	228	255	788
ADH1B	1392	70	106	9	27	792	5755	3615	7840	5299	4947	7085
ADH1C	134	124	62	14	39	21	81	15	93	27	67	409
ADH5	1227	1788	2199	883	42	2092	2212	1860	3611	1839	2338	2683
ADH6	8	182	1	2	1	4	15	17	44	8	19	104
ADHFE1	96	579	38	60	32	78	268	209	329	137	333	401
ADI1	435	104	276	175	3	460	264	292	367	209	318	385
ADIPOR1	1825	1878	1865	3024	294	1420	2151	1895	3341	1456	2501	3175
ADIRF	102	10	40	14	2	45	538	630	1020	443	521	549
ADK	677	321	871	282	103	930	685	432	886	360	724	660
ADM	409	669	379	983	32	448	304	3755	1543	271	874	376
ADM2	67	56	32	23	0	13	4	7	4	2	5	0
ADM5	38	6	72	13	0	10	51	59	78	63	75	27
ADNP	1473	1144	1874	1654	289	1368	1525	1258	2354	1328	1452	1962
ADNP-AS1	19	30	20	21	0	9	15	7	18	15	30	28
ADNP2	557	310	245	494	56	379	490	398	661	310	805	493
ADO	375	202	437	291	28	358	467	392	780	312	457	491
ADORA1	2	14	40	233	2	0	26	54	28	40	41	24
ADORA2B	43	8	254	61	22	142	48	111	201	71	71	99
ADORA3	53	46	29	28	2	36	28	30	82	4	17	30
ADPGK	980	1005	683	1303	162	707	1079	1073	1707	830	1687	1572
ADPRH	403	143	202	210	8	85	683	548	1123	597	748	592
ADPRHL1	16	16	91	8	0	20	16	28	50	16	44	104
ADPRM	65	86	123	86	8	209	104	89	113	99	128	133
ADPRS	481	348	575	768	50	160	781	611	882	381	920	833
ADRA1A	51	0	2	0	0	2	262	124	50	60	114	157
ADRA1B	32	10	19	6	2	14	110	58	84	40	55	97
ADRA2A	1273	32	8	56	10	223	110	40	88	8	180	120
ADRA2C	23	6	236	16	0	10	105	79	283	98	112	125
ADRB1	141	0	8	4	32	34	537	685	1801	247	1646	841
ADRB2	305	10	30	18	0	113	863	747	1169	417	724	532
ADRM1	1342	886	2462	2042	104	264	1128	1204	1882	698	1430	952
ADSL	583	812	1926	389	25	1390	484	481	720	429	544	637
ADSS1	91	113	138	204	11	30	65	77	111	34	90	173
ADSS2	984	954	1233	1466	134	1461	801	896	1473	615	1115	1468
ADTRP	110	32	6	86	0	27	134	113	254	57	291	168
AEBP1	2193	747	2163	6124	123	1316	2790	3428	5119	2570	5301	3068
AEBP2	520	197	474	274	36	875	597	678	934	543	537	664
AEN	503	250	209	235	10	92	272	534	819	125	746	213
AFAP1	583	207	426	585	36	160	590	673	925	543	806	612
AFAP1-AS1	314	2	22	740	32	156	7	11	4	2	6	6
AFAP1L1	366	619	114	135	20	127	912	903	1826	1953	953	1027
AFAP1L2	232	25	53	128	18	167	486	275	387	841	819	305
AFDN	1894	2510	1458	2189	568	2325	4567	3493	5676	3812	5283	6009
AFDN-DT	11	69	30	10	6	17	38	28	33	19	25	35
AFF1	1256	1063	486	939	88	519	2447	2486	4186	2875	2285	3807
AFF1-AS1	43	60	28	26	3	61	44	40	73	59	40	69
AFF2	64	20	38	26	0	93	190	372	558	273	413	390
AFF3	151	25	6	8	11	34	613	926	1281	660	615	1183
AFF4	2453	1471	522	982	151	1019	2360	3010	4683	1689	3858	3691
AFG1L	66	56	126	66	24	91	91	79	116	61	102	111
AFG3L1P	256	707	125	260	48	65	284	283	425	370	514	404
AFG3L2	442	243	243	274	9	195	608	613	955	345	568	713
AFMID	719	2048	367	287	12	267	348	390	554	369	604	453
AFTPH	993	880	804	889	150	1172	882	928	1505	676	1193	1388
AGA	470	1402	423	260	38	531	303	194	409	233	338	423
AGAP1	880	448	260	552	56	441	804	661	1329	732	997	1271
AGAP11	56	15	4	8	3	22	221	243	465	397	364	628
AGAP2	96	109	12	156	4	9	66	50	125	36	124	63
AGAP2-AS1	5	8	9	21	0	11	16	4	36	13	20	3
AGAP3	1086	942	508	1224	195	196	2048	1674	3021	1629	2429	2023
AGAP5	7	21	7	21	2	4	16	12	17	34	18	47
AGBL3	53	77	34	48	11	104	76	64	150	150	166	136
AGBL5	270	275	890	204	10	173	506	269	595	291	416	701
AGFG1	1620	1485	858	1024	60	1817	1570	2091	2695	1121	2657	2235
AGFG2	246	250	131	269	18	77	532	556	503	849	308	416
AGGF1	399	285	502	419	71	453	623	406	803	561	564	853
AGK	73	47	54	49	6	36	58	75	134	52	55	107
AGL	422	297	555	310	139	708	458	336	720	508	658	783
AGMAT	29	137	63	24	0	68	6	6	9	6	14	3
ago/01	374	529	258	589	56	126	601	414	924	640	604	762
ago/02	1809	883	509	659	148	354	1101	1481	2411	968	2450	1461
ago/03	519	301	292	405	76	202	502	511	815	716	734	851
ago/04	756	536	214	679	141	196	850	575	1190	960	1137	1291
AGPAT2	3175	997	800	1439	178	565	912	1028	1610	619	1321	1316
AGPAT3	1232	1056	621	1207	129	191	1411	1113	2085	1063	1539	1821
AGPAT4	223	460	133	212	8	117	301	384	852	343	981	593
AGPS	851	850	1169	905	54	958	774	685	1306	686	772	1152
AGR2	6400	4931	17317	2761	4	23732	1215	1120	2309	152	1569	6144
AGR3	1321	1260	1036	731	277	9590	1414	1207	3214	157	1961	2500
AGRN	3163	1353	1253	8237	764	146	4787	2860	4819	3780	4274	3691
AGT	198	7792	588	436	48	154	50	117	109	74	52	70
AGTPBP1	490	283	264	356	48	372	993	1019	1395	711	923	1377
AGTR1	171	148	6	12	8	38	520	485	693	244	702	330
AGTR2	26	0	0	0	0	60	240	489	517	222	132	2217
AGTRAP	411	1101	479	855	44	151	473	563	853	356	722	620
AHCTF1	699	710	878	1186	131	589	746	857	1227	635	801	1005
AHCY	1445	1822	5023	884	155	2448	674	805	1554	558	862	1050
AHCYL1	1679	867	1731	1162	486	1673	2007	2385	3599	1487	2592	2981
AHCYL2	2949	207	180	535	60	475	2202	4586	5489	828	2877	3386
AHDC1	327	445	208	996	58	32	914	705	1192	700	868	817
AHI1	408	942	309	399	90	551	476	549	768	373	1005	1115
AHNAK	15806	6764	1348	6380	256	1287	43379	37608	73465	42354	48859	54746
AHNAK2	339	474	73	1524	15	32	376	215	224	509	328	513
AHR	2224	822	5069	1954	253	2778	3003	3542	6292	2749	3772	2985
AHRR	104	14	22	35	24	2	18	22	97	22	189	130
AHSA1	939	499	2566	1625	95	1399	951	1024	1691	628	859	1655
AHSA2P	801	2298	862	666	600	689	1396	573	2337	1389	2314	2448
AIDA	280	97	301	402	13	326	342	379	806	409	319	513
AIF1L	304	356	884	356	22	247	1394	1036	1639	1407	624	981
AIFM1	563	387	737	649	47	242	321	351	533	217	405	496
AIFM2	424	234	205	514	50	57	261	408	629	166	394	270
AIFM3	6	36	49	63	4	26	23	26	41	35	33	45
AIG1	294	709	1751	368	110	1569	516	480	793	359	620	647
AIM2	124	115	158	641	0	125	19	18	106	14	44	12
AIMP1	521	1050	956	519	110	2074	890	931	1392	654	1000	1054
AIMP2	85	76	276	115	5	399	79	132	156	71	127	151
AIP	572	697	741	647	41	444	864	688	1203	661	916	740
AJM1	15	18	6	38	0	2	12	6	32	17	35	27
AJUBA	366	58	232	334	64	96	734	433	711	897	396	708
AK1	1077	429	385	489	164	259	2107	2052	3467	1214	2349	2386
AK2	1580	1759	2651	1561	451	2291	1610	1660	2556	1163	1836	2033
AK3	1297	437	1078	782	276	1450	1472	1110	2417	1218	1871	1836
AK4	111	263	543	561	5	184	83	75	123	135	74	95
AK7	56	17	16	21	6	67	193	66	278	49	110	1067
AK8	36	25	32	38	0	16	83	42	130	18	56	321
AK9	118	117	113	104	31	194	203	140	281	182	180	867
AKAP1	1259	986	1390	918	121	973	1005	946	1603	808	994	1583
AKAP10	337	1091	533	277	72	314	450	461	665	387	440	829
AKAP11	894	497	566	606	61	472	1435	1188	2342	1532	1388	2405
AKAP12	1396	545	687	339	8	354	1631	9518	4423	786	2708	2233
AKAP13	5105	1775	413	1942	289	403	6313	8263	12735	3014	8863	9028
AKAP5	103	44	107	75	0	102	110	95	72	76	148	246
AKAP6	114	12	273	153	15	156	160	186	466	212	179	675
AKAP7	104	72	44	116	2	202	192	192	221	153	137	345
AKAP8	511	1303	341	423	72	344	673	663	984	540	1017	754
AKAP8L	744	1185	783	1207	131	319	992	881	1478	1083	1501	1215
AKAP9	1889	1201	450	937	110	1430	1763	1114	2245	1561	1676	3978
AKIP1	216	212	255	195	17	279	326	174	392	236	387	396
AKIRIN1	1389	663	798	770	42	1117	1149	1293	2278	656	1761	1272
AKIRIN2	702	611	1215	738	136	699	854	736	1103	407	1006	712
AKNA	1009	1155	133	1363	42	91	1035	1202	1988	536	1456	1443
AKR1A1	1566	2986	1384	1994	157	1259	929	736	1441	711	1208	1245
AKR1B1	770	511	609	1203	54	704	754	806	2018	751	1232	845
AKR1B10	2	157	12	39	470	10	0	4	0	0	71	53
AKR1C1	261	461	688	26	958	167	772	694	797	281	668	817
AKR1C2	92	177	689	14	2306	46	361	300	356	86	238	333
AKR1C3	594	1503	556	321	1366	302	497	487	946	220	802	1048
AKR1E2	64	65	72	21	27	103	57	46	107	61	103	59
AKR7A2	339	257	513	383	6	341	479	349	647	326	438	702
AKR7A3	140	55	10	20	14	1409	17	14	21	10	37	28
AKR7L	55	75	0	12	18	67	7	4	8	4	16	19
AKT1	1770	412	1328	1740	196	143	1825	1762	2943	1481	2179	2390
AKT1S1	534	487	533	853	64	126	579	422	709	376	653	474
AKT2	1468	1142	1167	2113	94	400	1550	1138	2051	1182	2105	1848
AKTIP	348	178	424	208	54	639	566	377	913	533	520	668
ALAD	713	516	297	1221	158	279	952	624	1550	851	1085	1084
ALAS1	1237	333	501	529	32	393	1110	1359	1585	789	1145	935
ALCAM	3322	703	2007	3160	354	10016	7715	5347	9041	4110	6826	9426
ALDH16A1	480	1514	384	1070	40	31	378	421	661	330	635	486
ALDH18A1	1251	1985	1315	968	150	701	521	424	773	282	532	704
ALDH1A1	3186	973	526	1097	30	7839	3580	2348	5286	1510	3190	9325
