Gene	t_7	t_8	t_9	t_10	t_11	t_12	n_1	n_2	n_3	n_4	n_5	n_6
LOC100288798	26	71	21	11	0	169	41	16	60	11	23	113
LOC100289230	26	41	8	16	8	48	20	19	27	18	30	57
LOC100289495	2	11	30	20	4	68	21	4	30	10	21	47
LOC100499489	36	7	52	20	2	38	100	39	53	34	78	54
LOC100505501	23	12	152	40	8	101	36	29	55	16	27	31
LOC100505549	38	28	14	20	4	39	45	19	53	42	30	34
LOC100505715	8	3	16	24	2	14	35	15	25	13	12	34
LOC100506098	20	13	377	27	14	962	24	9	52	2	24	82
LOC100506100	18	37	8	23	0	109	15	5	31	16	33	23
LOC100506124	25	82	4	14	0	21	47	41	48	27	71	132
LOC100506178	51	10	13	14	0	102	24	57	70	9	62	44
LOC100506235	8	14	8	14	4	32	20	10	31	23	20	37
LOC100506258	18	12	0	16	4	28	20	12	36	30	26	103
LOC100506282	17	26	14	18	0	16	17	11	26	26	24	32
LOC100506302	45	166	74	29	10	52	57	36	66	26	56	61
LOC100506411	63	16	148	114	26	822	12	16	37	2	14	27
LOC100506472	3	30	4	21	2	0	25	15	40	36	85	61
LOC100506473	39	118	50	69	14	28	56	44	50	51	79	84
LOC100506476	20	10	22	79	6	25	34	87	88	12	76	57
LOC100506585	72	24	10	46	2	8	90	64	81	54	104	110
LOC100506606	17	129	4	7	2	36	23	9	44	8	24	32
LOC100506639	33	21	32	30	1	27	33	34	41	35	32	48
LOC100506730	68	58	10	85	10	35	53	53	80	51	60	117
LOC100506990_1	18	3	5	8	1	8	73	25	43	24	43	80
LOC100507002	6	16	34	48	4	27	29	2	26	16	35	21
LOC100507006	19	49	28	24	11	15	41	54	44	22	97	54
LOC100507053	43	70	16	12	12	33	75	84	162	62	144	188
LOC100507103	29	276	23	31	6	28	43	20	48	27	39	44
LOC100507291	12	35	20	19	0	21	22	6	24	19	42	56
LOC100507507	62	49	92	97	6	70	99	116	183	49	182	57
LOC100507516	37	15	46	254	2	34	88	115	138	150	132	245
LOC100507599	17	54	31	17	14	24	29	30	46	16	36	128
LOC100652758	14	24	40	12	2	57	10	17	51	14	47	67
LOC100652768	31	28	2	11	5	10	48	41	139	63	135	159
LOC100996660	20	9	16	14	8	21	13	18	48	34	42	53
LOC100996724	113	74	34	104	18	23	121	132	290	125	200	268
LOC100996756	18	2	13	19	1	0	23	16	25	14	12	12
LOC100996842	47	44	99	80	12	62	80	65	104	56	81	91
LOC101059954	14	27	9	35	0	23	10	0	10	0	4	0
LOC101060179	57	12	32	60	10	6	123	152	350	105	114	177
LOC101241902	12	13	6	2	2	14	26	4	22	37	5	23
LOC101926907	32	140	87	36	4	84	52	60	97	38	47	98
LOC101926959	102	0	2	0	24	273	528	18	40	365	173	200
LOC101926967	37	47	48	42	9	50	64	22	71	50	111	61
LOC101927021	41	71	132	32	8	191	66	14	82	73	78	89
LOC101927045	24	16	52	22	5	142	25	31	36	30	23	79
LOC101927057	35	0	8	9	0	188	160	98	183	38	201	1065
LOC101927060	38	39	48	56	5	29	105	90	179	126	67	205
LOC101927069	36	10	233	19	0	23	90	132	206	117	197	154
LOC101927151	21	13	60	41	2	75	23	30	58	33	32	45
LOC101927300	21	73	50	18	16	28	41	25	42	30	37	70
LOC101927318	159	0	232	104	0	17	33	2	17	4	17	17
LOC101927391	68	40	131	40	57	137	113	67	145	61	153	170
LOC101927393	38	27	13	4	0	6	21	31	46	18	59	65
LOC101927402	12	20	2	20	2	14	6	4	34	2	8	6
LOC101927479	28	28	4	11	4	0	22	39	50	13	61	45
LOC101927509	43	38	4	7	2	2	23	18	50	36	57	74
LOC101927550	36	25	5	18	2	2	45	41	47	41	68	90
LOC101927556	481	553	644	582	58	290	647	663	979	526	986	688
LOC101927630	15	14	34	8	2	3	12	22	30	16	65	33
LOC101927673	28	2	25	4	12	4	51	30	70	34	91	50
LOC101927741	18	22	19	68	5	17	20	37	37	24	35	77
LOC101927751	57	27	26	16	2	4	41	34	82	29	271	84
LOC101927759	4	29	11	8	10	8	31	13	8	13	19	10
LOC101927789	24	37	21	34	20	38	22	9	19	10	40	4
LOC101927811	5	2	99	12	0	49	24	6	12	4	15	64
LOC101927825	6	2	2	1	4	8	17	20	24	39	27	85
LOC101927837	18	55	25	38	4	20	10	11	14	35	15	52
LOC101927858	19	15	2	4	2	4	15	15	7	18	17	29
LOC101927864	56	47	58	76	4	9	66	60	165	81	224	180
LOC101927897	72	18	0	6	0	2	16	41	114	6	154	40
LOC101927943	17	2	12	6	0	14	46	31	39	24	30	37
LOC101927963	42	28	26	30	0	67	30	20	25	25	30	57
LOC101927974	8	23	17	18	0	24	13	12	24	10	14	22
LOC101927979	16	12	23	20	10	16	28	15	42	21	50	47
LOC101927999	49	0	30	7	1	3	76	11	41	81	94	120
LOC101928000	11	12	69	14	3	33	10	8	15	10	21	18
LOC101928004	34	15	7	34	2	8	8	8	8	8	13	47
LOC101928068	42	39	67	42	22	41	67	24	32	16	33	96
LOC101928069	16	9	26	14	5	47	21	19	21	19	30	32
LOC101928076	21	39	32	38	8	35	6	4	14	8	7	24
LOC101928096	20	42	18	20	9	11	14	19	20	12	18	26
LOC101928100	8	12	97	52	0	106	11	1	11	4	23	18
LOC101928126	12	52	2	164	12	9	16	4	28	47	26	36
LOC101928152	27	37	7	17	0	39	3	8	13	0	18	1
LOC101928212	81	178	153	59	8	26	132	102	151	71	283	432
LOC101928215	26	21	1	5	0	23	365	200	121	162	233	195
LOC101928230	14	56	16	10	0	28	16	12	18	27	29	26
LOC101928236	27	6	8	8	16	20	32	24	44	22	41	47
LOC101928274	18	34	6	2	0	31	10	2	2	4	18	39
LOC101928331	26	2	8	6	2	15	94	32	176	16	56	600
LOC101928377	30	10	11	12	0	22	55	22	83	20	43	66
LOC101928415	12	5	9	3	8	5	28	29	46	45	29	50
LOC101928421	18	8	15	4	0	4	12	14	22	14	24	41
LOC101928451	157	110	36	55	12	23	114	143	313	289	221	401
LOC101928465	72	34	22	140	0	8	166	86	196	80	134	110
LOC101928487	16	52	29	22	4	30	20	14	28	10	44	25
LOC101928595	15	40	10	18	9	44	28	6	20	10	30	47
LOC101928674	94	39	34	16	0	28	14	21	26	2	23	4
LOC101928705	31	102	8	4	2	3	19	24	34	17	23	34
LOC101928711	10	5	12	43	29	23	6	4	23	6	23	22
LOC101928762	69	133	41	102	23	10	103	103	164	162	210	98
LOC101928768	16	0	15	12	10	3	12	14	28	7	16	46
LOC101928819	153	0	4	0	11	4	215	289	115	63	125	257
LOC101928953	27	47	41	45	7	29	49	24	67	18	79	68
LOC101928963	16	30	20	14	0	6	10	3	10	13	6	15
LOC101929007	2	9	3	13	2	14	23	8	30	30	12	17
LOC101929018	4	16	8	8	9	3	11	23	18	13	33	20
LOC101929161	20	0	5	5	11	29	28	33	57	26	52	25
LOC101929174	6	4	23	20	12	34	70	10	37	46	37	46
LOC101929185	274	830	294	272	153	206	282	215	314	251	696	407
LOC101929188	52	50	27	6	4	54	57	89	125	53	119	78
LOC101929200	5	22	7	15	2	12	25	10	32	17	20	17
LOC101929240	71	384	114	293	50	32	160	201	255	215	372	250
LOC101929243	30	105	56	41	6	61	35	47	39	30	30	46
LOC101929331	19	4	2	42	2	2	35	20	67	39	17	31
LOC101929340	26	0	11	4	14	22	44	43	77	102	87	86
LOC101929343	18	36	32	28	2	53	16	11	17	4	15	16
LOC101929356	42	65	12	28	15	22	14	25	38	38	62	86
LOC101929444	21	5	1	20	4	8	12	11	27	11	25	92
LOC101929638	18	17	26	12	0	20	48	39	77	46	71	19
LOC101929667	15	4	10	6	1	13	44	27	18	21	31	25
LOC101929703	20	131	24	50	40	26	26	20	28	24	38	62
LOC101929704	16	26	48	14	4	66	18	9	17	16	26	60
LOC101929705	10	59	71	46	36	78	16	8	6	10	20	4
LOC101929709	66	140	56	49	21	66	29	64	76	26	90	58
LOC101929718	14	26	30	40	7	10	18	20	29	24	29	39
LOC101929767	25	48	40	38	1	38	33	31	66	38	55	49
LOC101929959	6	32	2	20	0	1	35	75	5	16	4	19
LOC101929977	14	18	56	22	0	54	8	6	16	4	8	14
LOC101930085	70	86	307	100	10	138	126	105	243	125	159	216
LOC101930112	27	35	4	32	0	10	26	12	30	22	24	52
LOC101930275	251	202	13	133	52	126	205	62	125	69	91	457
LOC101930307	118	69	43	109	4	12	78	57	141	118	130	225
LOC102606465	27	64	97	18	36	128	58	40	84	52	60	101
LOC102723338	32	0	22	25	34	83	201	192	318	271	190	278
LOC102723340	138	73	16	73	42	37	86	109	109	209	301	289
LOC102723360_1	38	11	26	18	5	6	40	30	44	17	29	61
LOC102723407	748	534	36	281	0	68	187	66	655	3	412	173
LOC102723415	10	13	84	74	1	22	26	29	44	56	43	68
LOC102723458	32	42	8	32	6	34	34	34	93	76	111	43
LOC102723539	30	14	16	14	9	16	22	22	21	23	26	25
LOC102723566	51	16	42	49	11	13	79	99	240	166	308	176
LOC102723648	9	63	26	6	36	13	14	6	5	19	24	16
LOC102723663	28	29	97	43	9	228	22	65	209	96	33	35
LOC102723665	14	26	10	6	4	54	4	0	12	8	8	16
LOC102723694	361	168	32	70	86	304	424	344	404	911	350	587
LOC102723696	5	15	8	10	5	2	14	11	29	16	17	44
LOC102723750	8	8	2	2	0	5	49	17	40	17	50	52
LOC102723814	8	15	8	13	4	8	18	2	22	29	12	36
LOC102723922	12	49	6	5	2	14	6	2	21	8	4	14
LOC102723983	14	52	64	19	4	65	14	6	23	25	19	14
LOC102723989	10	16	15	6	0	34	23	6	27	10	2	81
LOC102724143	55	33	14	28	4	20	82	28	36	61	288	20
LOC102724159	74	44	76	26	9	6	66	32	100	26	75	57
LOC102724200	13	26	31	13	3	21	33	18	49	8	55	28
